Time (s),Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
0.0,0.0,0.0,0.0,0.0,0.0
0.03333333333333333,-0.00014208350330591202,-0.0001310962252318859,-0.00020678620785474777,-0.0005099158734083176,-9.570643305778503e-05
0.06666666666666667,-0.000530739314854145,-0.0006426840554922819,-0.0009376122616231441,-0.0009679533541202545,0.0009179152548313141
0.1,-0.0007361015304923058,-0.0010452046990394592,-0.0016474821604788303,-8.247233927249908e-05,-0.03474726900458336
0.13333333333333333,-0.0011238250881433487,-0.00157101359218359,-0.0024484307505190372,-0.0011013317853212357,-0.03258555009961128
0.16666666666666666,-0.00147191621363163,-0.001975758234038949,-0.002993871457874775,-0.0022515244781970978,-0.03294091299176216
0.2,-0.0018479898571968079,-0.002449327614158392,-0.003689040429890156,-0.002775898203253746,-0.03631196543574333
0.23333333333333334,-0.002010221127420664,-0.0027531246887519956,-0.0040716733783483505,-0.0028348248451948166,-0.036654260009527206
0.26666666666666666,-0.002413797192275524,-0.0032298361184075475,-0.004827556200325489,-0.004087163135409355,-0.03713877871632576
0.3,-0.002674099523574114,-0.0035524965496733785,-0.005330827087163925,-0.004208924248814583,-0.03745585307478905
0.3333333333333333,-0.002738035749644041,-0.003782300278544426,-0.00563882477581501,-0.0029802098870277405,-0.037716012448072433
0.36666666666666664,-0.0029128282330930233,-0.004113160539418459,-0.006113792769610882,-0.0024637319147586823,-0.03810929134488106
0.4,-0.0026321099139750004,-0.0040721166878938675,-0.006162974052131176,-0.003445098176598549,-0.03849209472537041
0.43333333333333335,-0.0027981381863355637,-0.0046383782755583525,-0.007082306779921055,-0.0062607694417238235,-0.012877162545919418
0.4666666666666667,0.002639484591782093,-0.004877352388575673,-0.007602589204907417,-0.007330236956477165,-0.00560988113284111
0.5,0.0028821537271142006,-0.005052859429270029,-0.008447008207440376,-0.0073902178555727005,-0.006009839475154877
0.5333333333333333,0.0032199090346693993,-0.005889797350391746,-0.011390402913093567,-0.007872434332966805,-0.005755960941314697
0.5666666666666667,0.00243374053388834,-0.010038629872724414,-0.027385462075471878,-0.009739812463521957,-0.006398763507604599
0.6,0.002061215229332447,-0.010458565084263682,-0.027775678783655167,-0.036530788987874985,-0.00586339458823204
0.6333333333333333,0.0017598625272512436,-0.010764204664155841,-0.02809220924973488,-0.03688583895564079,-0.026606988161802292
0.6666666666666666,0.001383521594107151,-0.011400112649425864,-0.028486009687185287,-0.03720700368285179,-0.026416592299938202
