Time (s),Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
0.0,0.0,0.0,0.0,0.0,0.0
0.03333333333333333,-0.0036158859729766846,-0.003649502992630005,-0.0037650614976882935,-0.003692120313644409,-0.003645196557044983
0.06666666666666667,-0.007025375962257385,-0.007010430097579956,-0.007249757647514343,-0.007089868187904358,-0.007129967212677002
0.1,-0.010845467448234558,-0.010771825909614563,-0.011131644248962402,-0.010985270142555237,-0.00690440833568573
0.13333333333333333,-0.014731407165527344,-0.014606550335884094,-0.015113487839698792,-0.014911279082298279,-0.010465353727340698
0.16666666666666666,-0.018373683094978333,-0.018266037106513977,-0.018910333514213562,-0.018599748611450195,-0.013552501797676086
0.2,-0.021880120038986206,-0.02178683876991272,-0.02254471182823181,-0.022228702902793884,-0.01599155366420746
0.23333333333333334,-0.025809288024902344,-0.025791123509407043,-0.02664816379547119,-0.026377618312835693,-0.019321605563163757
0.26666666666666666,-0.028756916522979736,-0.028843775391578674,-0.029735445976257324,-0.02934865653514862,-0.0217026025056839
0.3,-0.03192959725856781,-0.03206676244735718,-0.03303423523902893,-0.032759711146354675,-0.02432684600353241
0.3333333333333333,-0.03507359325885773,-0.03531035780906677,-0.03638288378715515,-0.036614611744880676,-0.02693857252597809
0.36666666666666664,-0.038114532828330994,-0.03847378492355347,-0.03962568938732147,-0.04029953479766846,-0.02947467565536499
0.4,-0.04092426598072052,-0.04151417315006256,-0.04276615381240845,-0.04319752752780914,-0.03175635635852814
0.43333333333333335,-0.04349072277545929,-0.04510727524757385,-0.045990973711013794,-0.04571308195590973,-0.04264189302921295
0.4666666666666667,-0.03993135690689087,-0.04859454929828644,-0.04900045692920685,-0.04849188029766083,-0.048128917813301086
0.5,-0.04054681956768036,-0.052007198333740234,-0.05164922773838043,-0.05171191692352295,-0.05115893483161926
0.5333333333333333,-0.04109826683998108,-0.05240549147129059,-0.052167072892189026,-0.054675355553627014,-0.0544583797454834
0.5666666666666667,-0.04234148561954498,-0.04247574508190155,-0.03994646668434143,-0.057323336601257324,-0.05784350633621216
0.6,-0.04345940053462982,-0.04369133710861206,-0.04141421616077423,-0.042328208684921265,-0.06136099994182587
0.6333333333333333,-0.04520110785961151,-0.04567341506481171,-0.043481990694999695,-0.04462212324142456,-0.05508594214916229
0.6666666666666666,-0.04745100438594818,-0.04692862927913666,-0.04602162539958954,-0.047443926334381104,-0.05883757770061493
0.7,-0.049922868609428406,-0.049518004059791565,-0.04873524606227875,-0.05035308003425598,-0.06252862513065338
0.7333333333333333,-0.05271823704242706,-0.05240534245967865,-0.051719218492507935,-0.054767802357673645,-0.06613223254680634
0.7666666666666667,-0.05605044960975647,-0.05580814182758331,-0.05519513785839081,-0.058720916509628296,-0.06938473880290985
0.8,-0.05952605605125427,-0.05933593213558197,-0.058779165148735046,-0.062378525733947754,-0.07268460094928741
0.8333333333333334,-0.06325507164001465,-0.06310680508613586,-0.06259557604789734,-0.06625522673130035,-0.07609859108924866
0.8666666666666667,-0.06700772047042847,-0.06689372658729553,-0.066419318318367,-0.07007384300231934,-0.08024464547634125
0.9,-0.07070653140544891,-0.07185108959674835,-0.0701826810836792,-0.07324129343032837,-0.08538460731506348
0.9333333333333333,-0.07428325712680817,-0.07567885518074036,-0.07383574545383453,-0.07600705325603485,-0.10012280195951462
0.9666666666666667,-0.07802261412143707,-0.07957315444946289,-0.07766644656658173,-0.07810799777507782,-0.10382238775491714
1.0,-0.08156043291091919,-0.08319836854934692,-0.08130352199077606,-0.10815545916557312,-0.10798525810241699
1.0333333333333334,-0.08516137301921844,-0.08864732831716537,-0.11274242401123047,-0.112667977809906,-0.11199973523616791
1.0666666666666667,-0.08878025412559509,-0.1101253479719162,-0.11866089701652527,-0.11724687367677689,-0.11750993877649307
1.1,-0.09239417314529419,-0.12114765495061874,-0.12282136082649231,-0.12149422615766525,-0.09839621186256409
1.1333333333333333,-0.09612905979156494,-0.12630410492420197,-0.12671861052513123,-0.12584134191274643,-0.10206938534975052
1.1666666666666667,-0.10003181546926498,-0.13129210472106934,-0.13161977380514145,-0.13094190508127213,-0.10617799311876297
1.2,-0.12783163040876389,-0.13544530421495438,-0.13599495589733124,-0.1029784083366394,-0.11029433459043503
1.2333333333333334,-0.13144003599882126,-0.13862678408622742,-0.13969899713993073,-0.10676638036966324,-0.1140076145529747
1.2666666666666666,-0.13742300122976303,-0.14182163029909134,-0.1440042182803154,-0.11077064275741577,-0.11809910833835602
1.3,-0.14362920820713043,-0.14506199955940247,-0.11605726182460785,-0.11472205817699432,-0.12206771969795227
1.3333333333333333,-0.14827480167150497,-0.14703373610973358,-0.12017305940389633,-0.11889400333166122,-0.1268271952867508
1.3666666666666667,-0.15179409831762314,-0.14930973947048187,-0.12368542701005936,-0.12242110073566437,-0.13167285174131393
1.4,-0.15620838850736618,-0.15299119427800179,-0.12669645249843597,-0.12546224892139435,-0.1366053745150566
1.4333333333333333,-0.15932970494031906,-0.1575305461883545,-0.1287313625216484,-0.12756014615297318,-0.13847189396619797
1.4666666666666666,-0.16137291863560677,-0.16101545095443726,-0.1300119161605835,-0.12890750169754028,-0.14008748531341553
1.5,-0.1621728241443634,-0.16465142369270325,-0.13091836124658585,-0.12992095947265625,-0.14292755722999573
1.5333333333333334,-0.15740284323692322,-0.16712842881679535,-0.13118167966604233,-0.13036660850048065,-0.14561498910188675
1.5666666666666667,-0.15210683643817902,-0.16990204900503159,-0.13113151490688324,-0.1308738812804222,-0.14996743202209473
1.6,-0.1289147064089775,-0.17208220437169075,-0.17423267662525177,-0.13133760541677475,-0.15442900359630585
1.6333333333333333,-0.12934905290603638,-0.1718083880841732,-0.1760898120701313,-0.13231363147497177,-0.15951096639037132
1.6666666666666667,-0.13070665299892426,-0.17617780342698097,-0.18030644208192825,-0.13421091437339783,-0.1594483032822609
1.7,-0.13092539459466934,-0.16818947345018387,-0.18366754427552223,-0.13977835327386856,-0.15951406955718994
1.7333333333333334,-0.13248536735773087,-0.14086796343326569,-0.18775362893939018,-0.145769365131855,-0.1631181761622429
1.7666666666666666,-0.13562268763780594,-0.14422299712896347,-0.19169863499701023,-0.15843498706817627,-0.1677413508296013
1.8,-0.13906826078891754,-0.14783382415771484,-0.19558344408869743,-0.1982208490371704,-0.17384659126400948
1.8333333333333333,-0.14284195005893707,-0.15172791481018066,-0.20048566721379757,-0.20175507105886936,-0.17856210470199585
1.8666666666666667,-0.14665284752845764,-0.15563003346323967,-0.20515742897987366,-0.20576674863696098,-0.18273115530610085
1.9,-0.15056481212377548,-0.1596100851893425,-0.20956110581755638,-0.21041952446103096,-0.18689465522766113
1.9333333333333333,-0.15456033498048782,-0.1636638045310974,-0.21465792879462242,-0.21492821350693703,-0.19406698644161224
1.9666666666666666,-0.15849405527114868,-0.16764139384031296,-0.21875089034438133,-0.21928080171346664,-0.19859903305768967
2.0,-0.1637086160480976,-0.17168950662016869,-0.2226000539958477,-0.22333698347210884,-0.20281613990664482
2.033333333333333,-0.1675068736076355,-0.1994646117091179,-0.22716587409377098,-0.2269069030880928,-0.20702838152647018
2.066666666666667,-0.1726335510611534,-0.22651026397943497,-0.23115155473351479,-0.23195302858948708,-0.20777451246976852
2.1,-0.1777157261967659,-0.23299425467848778,-0.23590191453695297,-0.23731877282261848,-0.21194017678499222
2.1333333333333333,-0.18162420392036438,-0.24047503992915154,-0.24125392362475395,-0.18694859743118286,-0.2124045565724373
2.1666666666666665,-0.18574510514736176,-0.24722884595394135,-0.2459833286702633,-0.1911303550004959,-0.21670830249786377
2.2,-0.18966324627399445,-0.2512233182787895,-0.2510102316737175,-0.19511709362268448,-0.22081177681684494
2.2333333333333334,-0.19374418258666992,-0.2560946084558964,-0.25718948245048523,-0.19927071034908295,-0.2226686105132103
2.2666666666666666,-0.19767476618289948,-0.26155969873070717,-0.2628137804567814,-0.2032781019806862,-0.22558657824993134
2.3,-0.2013750597834587,-0.26595672592520714,-0.20719771087169647,-0.20704031735658646,-0.22894389182329178
2.3333333333333335,-0.24515773355960846,-0.2695947587490082,-0.21086369454860687,-0.21023749560117722,-0.23170051723718643
2.3666666666666667,-0.25788021460175514,-0.27266210317611694,-0.2136925905942917,-0.21325581520795822,-0.23632918298244476
2.4,-0.2636490873992443,-0.27447081357240677,-0.21182316541671753,-0.2154085412621498,-0.23866330087184906
2.433333333333333,-0.2591162845492363,-0.2765993997454643,-0.21247638761997223,-0.21609249711036682,-0.24000660330057144
2.466666666666667,-0.26118534058332443,-0.27998021245002747,-0.21590978652238846,-0.21606600284576416,-0.24459250271320343
2.5,-0.20643043518066406,-0.2833162248134613,-0.21418659389019012,-0.2144593819975853,-0.24870619922876358
2.533333333333333,-0.19868871569633484,-0.2821928337216377,-0.21538996696472168,-0.21171241998672485,-0.24525321274995804
2.566666666666667,-0.19355391710996628,-0.27986201643943787,-0.2192227616906166,-0.2125011906027794,-0.23702695220708847
2.6,-0.18833830207586288,-0.23071061074733734,-0.28092293441295624,-0.20912881940603256,-0.23550884425640106
2.6333333333333333,-0.19201430678367615,-0.19899745285511017,-0.28197577595710754,-0.20593208074569702,-0.2442321926355362
2.6666666666666665,-0.1897268444299698,-0.19219399988651276,-0.2791692391037941,-0.19826732575893402,-0.24718047678470612
2.7,-0.18882966041564941,-0.19751109182834625,-0.25806327164173126,-0.20168758928775787,-0.23325896263122559
2.7333333333333334,-0.18914377689361572,-0.20143382251262665,-0.2622923478484154,-0.20741580426692963,-0.22719082236289978
2.7666666666666666,-0.18188436329364777,-0.20337198674678802,-0.27137643098831177,-0.2071755975484848,-0.2347206026315689
2.8,-0.1767050325870514,-0.20152215659618378,-0.19856442511081696,-0.23210470378398895,-0.2475815787911415
2.8333333333333335,-0.17424680292606354,-0.19842231273651123,-0.1937955766916275,-0.28624679893255234,-0.24775131046772003
2.8666666666666667,-0.17771656811237335,-0.19849534332752228,-0.20804904401302338,-0.2889774665236473,-0.24733342975378036
2.9,-0.16086871922016144,-0.18868768215179443,-0.20065397024154663,-0.2849765941500664,-0.24701598286628723
2.933333333333333,-0.15725873410701752,-0.17364700138568878,-0.2030084729194641,-0.29123246669769287,-0.25379692018032074
2.966666666666667,-0.14681290090084076,-0.16377758979797363,-0.20341141521930695,-0.19875933229923248,-0.26152243465185165
3.0,-0.13724960386753082,-0.16215814650058746,-0.20295947790145874,-0.19826480746269226,-0.2629738748073578
3.033333333333333,-0.14297519624233246,-0.1613139510154724,-0.20320287346839905,-0.2202647477388382,-0.25737616419792175
3.066666666666667,-0.1426108032464981,-0.16137820482254028,-0.20295514166355133,-0.22384732961654663,-0.2673126310110092
3.1,-0.14292030036449432,-0.1620623767375946,-0.20005153119564056,-0.23263756930828094,-0.2775881439447403
3.1333333333333333,-0.1451045423746109,-0.16647358238697052,-0.20295177400112152,-0.23631654679775238,-0.281807005405426
3.1666666666666665,-0.14780347049236298,-0.16742756962776184,-0.20738337934017181,-0.2360975444316864,-0.2857583910226822
3.2,-0.15103575587272644,-0.17078901827335358,-0.21163339912891388,-0.2373853474855423,-0.2898135185241699
3.2333333333333334,-0.1542334258556366,-0.1741875559091568,-0.21516142785549164,-0.24103163182735443,-0.29352475702762604
3.2666666666666666,-0.15769977867603302,-0.18563129007816315,-0.2189301699399948,-0.2448280304670334,-0.2972986549139023
3.3,-0.1613065004348755,-0.18960188329219818,-0.2244623601436615,-0.2544909417629242,-0.3011467903852463
